evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,alert_rate,0.4162795941375423,0.06424652386320932,0.35203307027433295
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,human_review_rate,0.08936490041337843,0.013092822247275461,0.07627207816610296
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,abstain_rate,0.3049229612927471,0.3811950394588501,-0.07627207816610299
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,no_action_rate,0.1894325441563322,0.5414656144306652,-0.352033070274333
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,event_coverage_by_alert,0.529086237565057,0.0885104420581066,0.4405757955069504
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,alert_precision,0.5800021666125014,0.6286850725315863,-0.04868290591908497
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,false_alerts_per_100,17.483652762119505,2.3855693348365277,15.098083427282976
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,event_coverage_by_human_review,0.07092035048422163,0.01340668028196851,0.05751367020225312
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,non_event_human_reviews_per_100,5.70011273957159,0.6974821495678316,5.002630590003758
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,auto_capacity_blocks_per_100,0.0,35.2033070274333,-35.2033070274333
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,7.627207816610297,-7.627207816610297
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,alert_rate,0.06424652386320932,0.06424652386320932,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,human_review_rate,0.013092822247275461,0.013092822247275461,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,abstain_rate,0.3811950394588501,0.3811950394588501,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,no_action_rate,0.5414656144306652,0.5414656144306652,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,event_coverage_by_alert,0.0885104420581066,0.0885104420581066,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,alert_precision,0.6286850725315863,0.6286850725315863,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,false_alerts_per_100,2.3855693348365277,2.3855693348365277,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,event_coverage_by_human_review,0.01340668028196851,0.01340668028196851,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.6974821495678316,0.6974821495678316,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,35.2033070274333,35.2033070274333,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,7.627207816610297,7.627207816610297,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
