evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,delta_arm_minus_full,ci_low,ci_high,bootstrap_unit,bootstrap_method,bootstrap_replicates,bootstrap_seed
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,auto_capacity_blocks_per_100,-0.599774520856819,-0.7340227967871366,-0.4683215760869672,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,review_capacity_overflow_abstentions_per_100,-0.5426531379180757,-0.7225285301965375,-0.365104146679426,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,alert_rate,0.35203307027433295,0.32625941778146134,0.3781672772309497,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,human_review_rate,0.07627207816610296,0.0665811192256862,0.08635034766375478,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,abstain_rate,-0.07627207816610299,-0.08635034766375475,-0.06658111922568621,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,no_action_rate,-0.352033070274333,-0.3781672772309498,-0.32625941778146134,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,event_coverage_by_alert,0.4405757955069504,0.4097315179193089,0.4706606515121123,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,alert_precision,-0.04868290591908497,-0.06762598721757113,-0.02931068578818718,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,false_alerts_per_100,15.098083427282976,14.132215339342213,16.136665027239655,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,event_coverage_by_human_review,0.05751367020225312,0.048262189856156316,0.06686367857535372,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,non_event_human_reviews_per_100,5.002630590003758,4.411779568668695,5.641170643769212,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,auto_capacity_blocks_per_100,-35.2033070274333,-37.81672772309498,-32.62594177814613,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,review_capacity_overflow_abstentions_per_100,-7.627207816610297,-8.63503476637548,-6.6581119225686205,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,capacity_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,alert_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,human_review_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,abstain_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,no_action_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,event_coverage_by_alert,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,alert_precision,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,false_alerts_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,event_coverage_by_human_review,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,evidence_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,alert_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,human_review_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,abstain_rate,-0.10573468620819242,-0.10931581164849319,-0.102265126981695,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,no_action_rate,0.10573468620819237,0.10226512698169504,0.10931581164849319,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,alert_precision,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,false_alerts_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,alert_rate,-0.005652010522360015,-0.006709150469987809,-0.004519466330507581,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,human_review_rate,0.006839534009770762,0.0056014158673810465,0.00795917762131565,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,abstain_rate,-0.006839534009770776,-0.007959177621315636,-0.0056014158673810465,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,no_action_rate,0.005652010522359974,0.004519466330507632,0.006709150469987848,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,event_coverage_by_alert,-0.008465643323012056,-0.01032502657752657,-0.006494115784605395,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,alert_precision,0.0002963534277825586,-0.0055246927098515225,0.006057879324037998,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,false_alerts_per_100,-0.17888012025554278,-0.23107549292174465,-0.12642700972781115,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,event_coverage_by_human_review,0.010903221556097239,0.009071549566701998,0.012645863893236431,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,non_event_human_reviews_per_100,0.1863960916948515,0.11993247363548361,0.25343800805824557,participant,paired cluster percentile,2000,20280813
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,shared_capacity,full_controls,auto_capacity_blocks_per_100,0.5652010522360023,0.4519466330507617,0.6709150469987806,participant,paired cluster percentile,2000,20280813
