evidence_scenario,component_arm,dataset_id,evaluation_scope,model_name,n_participants,n_decisions,n_positive,n_alert,n_true_alerts,n_false_alerts,n_human_review,n_event_human_reviews,n_non_event_human_reviews,n_abstain,n_no_action,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,event_coverage_by_alert,alert_precision,false_alerts_per_100,event_coverage_by_human_review,non_event_human_reviews_per_100,auto_capacity_blocks_per_100,review_capacity_overflow_abstentions_per_100,route_rate_sum,n_invalid_evidence,n_action_on_invalid_evidence,invalid_evidence_action_acceptance_rate,n_invalid_evidence_forced_abstain,n_direct_evidence_gate_blocks,direct_evidence_gate_blocks_per_100,participant_alerts_median,participant_alerts_q1,participant_alerts_q3,participant_alerts_p90,participant_reviews_median,participant_reviews_q1,participant_reviews_q3,participant_reviews_p90,route_agreement_with_full,prediction_scores_changed,predictive_metric_credit_applicable
missing_stale_stress,capacity_off,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,15297,12045,3252,5584,3376,2208,16247,29397,0,0,0.2299436302142052,0.08393836903419767,0.2442239759488914,0.44189402480270573,0.3967652678042032,0.7874092959403804,4.888387824126268,0.11120627182291323,3.319052987598647,0.0,0.0,1.0,6798,0,0.0,6798,6798,10.218714768883878,19.0,12.0,33.0,51.0,8.0,5.0,12.0,17.0,0.7755129650507329,False,False
missing_stale_stress,capacity_off,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,24852,14354,10498,5361,1935,3426,25015,11297,0,0,0.37357384441939123,0.08058624577226607,0.37602405110860576,0.16981585869973695,0.4728242967257395,0.5775792692741026,15.78053363397219,0.06373937677053824,5.149943630214205,0.0,0.0,0.9999999999999999,6798,0,0.0,6798,6798,10.218714768883878,31.0,10.0,67.0,88.0,4.0,1.0,12.0,23.0,0.6223975948891394,False,False
missing_stale_stress,capacity_off,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,17351,12034,5317,5372,2982,2390,13117,30685,0,0,0.26081924088688463,0.08075159714393085,0.19717399473882,0.4612551672303645,0.3964029250938797,0.6935623307014005,7.992484028560692,0.09822781474405429,3.5926343479894776,0.0,0.0,1.0,6798,0,0.0,6798,6798,10.218714768883878,24.0,14.0,38.0,56.0,8.0,5.0,11.0,15.0,0.747403231867719,False,False
missing_stale_stress,capacity_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,2501,1937,564,1100,698,402,3261,4938,0,0,0.21194915254237287,0.09322033898305085,0.27635593220338983,0.41847457627118645,0.33436906611427586,0.7744902039184326,4.779661016949152,0.12049024684964613,3.406779661016949,0.0,0.0,1.0,1208,0,0.0,1208,1208,10.23728813559322,33.0,16.0,62.0,88.60000000000001,16.0,11.0,24.5,34.0,0.7440677966101695,False,False
missing_stale_stress,capacity_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,4100,2358,1742,1317,557,760,4917,1466,0,0,0.3474576271186441,0.11161016949152543,0.4166949152542373,0.12423728813559322,0.40704298291040913,0.5751219512195122,14.76271186440678,0.09615052649749697,6.440677966101695,0.0,0.0,1.0,1208,0,0.0,1208,1208,10.23728813559322,56.0,7.0,131.5,167.0,5.0,0.0,33.5,59.20000000000003,0.5803389830508474,False,False
missing_stale_stress,capacity_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,3027,1994,1033,1004,574,430,2529,5240,0,0,0.25652542372881354,0.08508474576271187,0.2143220338983051,0.4440677966101695,0.3442085275332298,0.6587380244466469,8.754237288135593,0.09908510271016745,3.6440677966101696,0.0,0.0,1.0,1208,0,0.0,1208,1208,10.23728813559322,47.0,28.0,72.5,98.2,17.0,12.0,22.5,27.200000000000003,0.7075423728813559,False,False
missing_stale_stress,evidence_gate_off,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,4774,3668,1106,1222,726,496,15478,45051,12305,4996,0.07176249530251785,0.01836903419767005,0.23266441187523487,0.6772040586245772,0.1208248237696818,0.7683284457478006,1.662532882375047,0.023914618881349232,0.7455843667794062,18.496805712138293,7.509958662157084,1.0,6798,630,0.09267431597528684,1535,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.9121533258173619,False,False
missing_stale_stress,evidence_gate_off,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,4274,2687,1587,871,407,464,25359,36021,23419,5074,0.06424652386320932,0.013092822247275461,0.3811950394588501,0.5414656144306652,0.0885104420581066,0.6286850725315863,2.3855693348365277,0.01340668028196851,0.6974821495678316,35.2033070274333,7.627207816610297,1.0,6798,534,0.07855251544571933,2568,0,0.0,8.0,8.0,8.0,8.0,2.0,1.0,2.0,2.0,0.9291694851559564,False,False
missing_stale_stress,evidence_gate_off,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,4734,3252,1482,1223,737,486,11787,48781,14613,4753,0.07116121758737316,0.018384066140548667,0.1771815107102593,0.7332732055618189,0.1071216812701759,0.6869455006337135,2.2277339346110483,0.024276961591672707,0.7305524239007892,21.96617812852311,7.144682450206689,1.0,6798,653,0.09605766401882906,1180,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.9063059000375798,False,False
missing_stale_stress,evidence_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,466,312,154,118,61,57,3379,7837,2324,1097,0.039491525423728815,0.01,0.28635593220338984,0.6641525423728813,0.05385810460901087,0.6695278969957081,1.305084745762712,0.010529949939582254,0.4830508474576271,19.694915254237287,9.296610169491526,1.0,1208,56,0.046357615894039736,337,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.9216949152542373,False,False
missing_stale_stress,evidence_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,396,178,218,80,37,43,5512,5812,4175,1366,0.0335593220338983,0.006779661016949152,0.46711864406779663,0.49254237288135594,0.030726739167961332,0.4494949494949495,1.847457627118644,0.006387018815812187,0.3644067796610169,35.38135593220339,11.576271186440678,1.0,1208,38,0.03145695364238411,556,0,0.0,8.0,7.0,8.0,8.0,2.0,0.0,2.0,2.0,0.9424576271186441,False,False
missing_stale_stress,evidence_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,462,233,229,118,65,53,2498,8722,2899,997,0.039152542372881356,0.01,0.21169491525423728,0.7391525423728813,0.04022095632660107,0.5043290043290043,1.9406779661016949,0.0112204384602106,0.4491525423728814,24.56779661016949,8.44915254237288,1.0,1208,51,0.042218543046357616,281,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.9171186440677966,False,False
missing_stale_stress,full_controls,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,4733,3632,1101,1214,724,490,20617,39961,10564,4370,0.07114618564449456,0.018248778654641112,0.30991356632844796,0.6006914693724164,0.11963897489953225,0.7673779843650962,1.6550169109357384,0.023848738388563145,0.736565201052236,15.879744456971064,6.568959037955656,1.0,6798,0,0.0,6798,6798,10.218714768883878,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
missing_stale_stress,full_controls,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,4236,2641,1595,857,384,473,29519,31913,20616,4504,0.06367531003382187,0.012882375046974821,0.44372792183389703,0.4797143930853063,0.08699519072402662,0.6234655335221907,2.3975948891394214,0.01264905461492852,0.711010898158587,30.989853438556935,6.770387072529124,1.0,6798,0,0.0,6798,6798,10.218714768883878,8.0,8.0,8.0,8.0,2.0,1.0,2.0,2.0,1.0,False,False
missing_stale_stress,full_controls,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,4702,3217,1485,1217,734,483,17272,43334,12649,4155,0.07068019541525743,0.018293874483276965,0.2596317173994739,0.6513942127019917,0.10596877264641939,0.6841769459804339,2.232243517474634,0.024178140852493576,0.7260428410372041,19.01390454716272,6.245772266065389,1.0,6798,0,0.0,6798,6798,10.218714768883878,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
missing_stale_stress,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,463,304,159,118,62,56,4243,6976,2038,982,0.03923728813559322,0.01,0.3595762711864407,0.5911864406779661,0.05247712756775419,0.6565874730021598,1.347457627118644,0.01070257206973934,0.4745762711864407,17.271186440677965,8.322033898305085,1.0,1208,0,0.0,1208,1208,10.23728813559322,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
missing_stale_stress,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,388,178,210,77,30,47,6157,5178,3712,1240,0.03288135593220339,0.00652542372881356,0.5217796610169492,0.4388135593220339,0.030726739167961332,0.4587628865979381,1.7796610169491525,0.005178663904712584,0.3983050847457627,31.45762711864407,10.508474576271187,1.0,1208,0,0.0,1208,1208,10.23728813559322,8.0,7.0,8.0,8.0,2.0,0.0,2.0,2.0,1.0,False,False
missing_stale_stress,full_controls,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,462,234,228,118,65,53,3415,7805,2565,886,0.039152542372881356,0.01,0.28940677966101697,0.6614406779661017,0.04039357845675816,0.5064935064935064,1.9322033898305084,0.0112204384602106,0.4491525423728814,21.73728813559322,7.508474576271187,1.0,1208,0,0.0,1208,1208,10.23728813559322,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,False,False
missing_stale_stress,shared_capacity,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,4008,3117,891,2083,1261,822,19748,40686,11289,3501,0.06024802705749718,0.03131153701615934,0.29685080796692975,0.6115896279594137,0.1026747480071151,0.7776946107784432,1.3393461104847801,0.041537650701627245,1.2356257046223225,16.9695603156708,5.262683201803833,1.0,6798,0,0.0,6798,6798,10.218714768883878,7.0,5.0,8.0,9.0,3.0,2.0,4.0,6.0,0.9707779030439684,False,False
