scope,model_name,outer_fold,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
outer_training_history_exact,history_baseline,0,0.57,53190,24059,2782,802,21924,27682,3584,2315,1269,1866,916,11058,5395,0.0523030644858056,0.015078022184621169,0.4121827411167513,0.520436172212822,0.06738108667042678,0.09622178810424373,0.6459263392857143,2.3857868020304567,0.07755933330562367,0.6707404744787923,1.7221282195901486,20.789622109419064,1.0
outer_training_history_exact,history_baseline,0,0.58,53190,24059,2746,853,23342,26249,3599,2281,1318,1837,909,10402,6813,0.05162624553487498,0.01603684903177289,0.43884188757285203,0.4934950178605001,0.06766309456664786,0.09480859553597407,0.6337871631008614,2.477909381462681,0.07635396317386425,0.6689730517115805,1.7089678510998307,19.556307576612145,1.0
outer_training_history_exact,history_baseline,0,0.59,53190,24059,2660,821,22878,26831,3481,2209,1272,1785,875,9471,6349,0.05000940026320737,0.015435232186501223,0.43011844331641286,0.5044369242338785,0.06544463244970859,0.09181595245022653,0.6345877621373168,2.3914269599548788,0.0741926098341577,0.6710526315789473,1.6450460612897162,17.805978567399887,1.0
outer_training_history_exact,history_baseline,0,0.6,53190,24059,2534,828,22537,27291,3362,2157,1205,1706,828,8667,6008,0.04764053393495018,0.0155668358714044,0.42370746380898666,0.5130851663846587,0.06320736980635458,0.08965459911051997,0.6415823914336705,2.2654634329761234,0.07090901533729581,0.6732438831886346,1.5566835871404399,16.294416243654823,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.61,53190,24059,2426,794,21886,28084,3220,2058,1162,1644,782,7983,5357,0.0456100770821583,0.014927617973303253,0.41146832111299114,0.5279939838315473,0.060537695055461554,0.0855397148676171,0.6391304347826087,2.184621169392743,0.06833201712456877,0.6776586974443528,1.4702011656326377,15.008460236886632,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.62,53190,24059,2336,775,21373,28706,3111,1990,1121,1593,743,7347,4844,0.04391802970483173,0.0145704079714232,0.4018236510622297,0.5396879112615153,0.05848843767625494,0.08271332973107777,0.6396657023465123,2.1075390110923107,0.06621222827216426,0.6819349315068494,1.3968791126151532,13.812746756909194,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.63,53190,24059,2280,677,20573,29660,2957,1966,991,1569,711,6829,4044,0.04286520022560632,0.012727956382778717,0.38678322993043807,0.557623613461177,0.055593156608385035,0.08171578203582859,0.6648630368616841,1.8631321677006956,0.06521468057691508,0.6881578947368421,1.3367174280879865,12.83887948862568,1.0
outer_training_history_exact,history_baseline,0,0.64,53190,24059,1929,784,21017,29460,2713,1862,851,1390,539,5941,4488,0.03626621545403271,0.014739612709155856,0.39513066365858246,0.5538635081782289,0.05100582816318857,0.07739307535641547,0.6863251013638039,1.599924797894341,0.05777463734984829,0.720580611715915,1.013348373754465,11.169392742996804,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.65,53190,24059,1895,777,20437,30081,2672,1835,837,1375,520,5493,3908,0.035626997555931565,0.01460800902425268,0.3842263583380335,0.5655386350817823,0.05023500658018425,0.07627083419926015,0.686751497005988,1.5736040609137056,0.057151170040317556,0.7255936675461742,0.9776273735664599,10.327129159616469,1.0
outer_training_history_exact,history_baseline,0,0.66,53190,24059,1838,742,20173,30437,2580,1775,805,1339,499,4977,3644,0.034555367550291406,0.013949990599736792,0.3792630193645422,0.5722316224854296,0.048505358150028204,0.0737769649611372,0.687984496124031,1.5134423763865388,0.05565484849744379,0.7285092491838956,0.9381462680955067,9.357021996615906,1.0
